Name,descriptio,layer,Aspect,Curvature,Slope,Elevation,Geology,Extent
Debris flow,,Debrisflow Debrisflow,122.1812879800,-30766613.5560000017,39.2877697410,1268.5740831000,LHS Daling,Gangtok basin
Debris flow,,Debrisflow Debrisflow,229.9230261900,-71851756.8889999986,30.8841605720,1967.7129313000,LHS Daling,Gangtok basin
Debris flow,Image 3/12/2012,Debrisflow Debrisflow,161.2971937400,35550114.2220000029,29.4784486560,2048.8919406000,LHS Daling,Gangtok basin
Debris flow,"2017",Debrisflow Debrisflow,330.4067620200,155506752.0000000000,44.8129480150,960.7438286700,LHS Daling,Gangtok basin
Debris flow,"2017",Debrisflow Discussed with Claire,85.4235424470,5733764.0884999996,29.0637796190,1387.9074300000,LHS Daling,Gangtok basin
Debris flow,"2011",Debrisflow Debrisflow,169.0982004800,69309522.6669999957,45.8535469900,1768.0617405000,MCT zone,Gangtok basin
Debris flow,"2010",Debrisflow Debrisflow,171.0881754600,-70626457.7220000029,43.4089957340,2040.2376573000,MCT zone,Gangtok basin
Debris flow,"2010",Debrisflow Debrisflow,176.8261125400,121028817.3299999982,43.6133143110,1956.9753011000,MCT zone,Gangtok basin
Debris flow,"2012",Debrisflow Debrisflow,144.4045681400,-108701724.2199999839,46.2122887510,1615.1358236000,MCT zone,Gangtok basin
Debris flow,"2010",Debrisflow Debrisflow,261.5988040500,-18752487.1110000014,33.4973108500,2585.0616591000,GHS paro,Gangtok basin
Debris flow,Active,Debrisflow Debrisflow,215.5550927100,195690694.2199999988,25.2172918320,3324.0123155000,GHS paro,Gangtok basin
Debris flow,Image 9/27/2011,Debrisflow Debrisflow,181.3034803600,151673248.2199999988,43.2668418880,913.6357964400,Lingtse,Gangtok basin
Debris flow,Image 10/27/2009,Debrisflow Debrisflow,180.8303900800,-39642329.5829999968,42.5439792210,969.8765394400,Lingtse,Gangtok basin
Debris flow,"2011",Debrisflow Debrisflow,151.0186767600,-22871114.6250000000,41.0444573300,1619.6388889000,Lingtse,Gangtok basin
Debris flow,,Debrisflow Debrisflow,98.0729268390,41548876.7779999971,31.9611498510,1958.2592638000,LHS Daling,East Sikkim
Debris flow,"2006",Debrisflow Debrisflow,341.5558810800,80084028.5279999971,40.3832855220,1080.8549262000,LHS Daling,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,128.7672916000,-157225937.7800000012,49.4300689700,2211.9814996000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,271.4087100600,-215077980.4399999976,35.5478651260,1854.3055284000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,141.0832926400,65133694.8889999986,39.8364056480,4147.0401476000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,118.0301920600,8586954.6666999999,43.0147327850,4148.4135742000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,141.5491231300,177929877.3300000131,37.0296408340,4160.1450738000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,139.7614780000,100226770.9399999976,40.3483166160,3351.9228516000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,20.6155495110,127298131.2199999988,44.3618973630,3838.3796658000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,268.6041734500,98154514.8330000043,38.5999919040,3852.1173231000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,227.4945441400,17417922.3330000006,42.1413968400,3372.5308431000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,238.3552432600,125617383.5600000024,20.4801009500,4469.6142578000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,331.9520874000,89263062.1110000014,29.2759766050,3649.6388889000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,258.5915256100,123301414.2199999988,24.6791235610,4480.4351671000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,274.5559319400,-2932227.0833000001,39.7446848550,4358.8179253000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,289.9944593600,38693372.1389999986,40.4307907950,4400.3549262000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,327.0862630200,21686023.7780000009,42.1198128590,3851.6296115000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,137.7855512800,-55255809.9380000010,52.8073768620,2089.3857829000,GHS paro,East Sikkim
Debris flow,Image 10/5/2011,Debrisflow Debrisflow,164.4154171400,-156572566.3300000131,41.4482167560,3072.0833605000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,174.4633517800,35840264.8889999986,29.3644188770,3568.2623427000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,198.7313690200,110566174.8900000006,31.1152515410,3599.7499729000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,145.2409668000,120861711.5600000024,46.5908588830,4038.4721951000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,215.7208760600,-8297513.1111000003,36.9431097240,3882.0833605000,GHS paro,East Sikkim
Debris flow,"Active
Image 10/5/2011",Debrisflow Debrisflow,237.5785234200,-18172895.1389999986,37.2600775820,3648.3549533000,GHS paro,East Sikkim
Debris flow?,,Debrisflow Debrisflow,253.4521603100,-52108742.6670000032,24.4340563880,3609.3271484000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,168.6768137600,55387105.7779999971,28.6547620560,3558.2839627000,GHS paro,East Sikkim
Debris flow,10/5/2011,Debrisflow Debrisflow,153.1762373200,-101489100.6700000018,39.7971979780,2642.3611111000,GHS paro,East Sikkim
Debris flow,12/3/2010,Debrisflow Debrisflow,105.9666722600,-62154504.2220000029,27.7893409730,2187.3271213000,GHS paro,East Sikkim
Debris flow,Image 10//2011,Debrisflow Debrisflow,210.6468590600,10312915.4440000001,42.5049506290,2535.8796115000,GHS paro,East Sikkim
Debris flow,Image 10/5/2011,Debrisflow Debrisflow,228.0551096600,128966655.5600000024,36.9087664290,2665.2993435000,GHS paro,East Sikkim
Debris flow,10/5/2011,Debrisflow Debrisflow,153.4119974800,157480212.8899999857,42.0621058150,2856.0432129000,GHS paro,East Sikkim
Debris flow?,Image 10/5/2011,Debrisflow Debrisflow,215.4637688500,94864791.1110000014,48.2480816310,3130.9814724000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,333.7171020500,-121882096.2199999541,39.2794011430,3748.7932129000,GHS paro,East Sikkim
Debris flow?,Image 1/16/2010,Debrisflow Debrisflow,146.8947279200,125420406.8900000006,31.1693431010,2369.8827311000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,161.8199429000,144142501.1100000143,37.6851331920,2299.6049262000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,151.4434611000,93384304.4440000057,49.2436934580,1533.8796251000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,131.9260152200,122188873.4399999976,47.9119338990,1562.4290229000,GHS paro,East Sikkim
