Name,descriptio,layer,Area,Slope,Aspect,Curvature,Elevation,Domain,Extent,Geology
Debris slide,"2011",shallowGoogleEarthslides Characterised,2447.215,51.539721171061196,189.091120402018220,84241040.000000000000000,1327.666666666666742,"1",Gangtok basin,LHS Daling
Translational slide,"2019",shallowGoogleEarthslides Characterised,5746.813,22.475354807717459,84.407157352992471,-80845852.071428567171097,892.428571428571445,"1",Gangtok basin,LHS Daling
Rock slide,"2017",shallowGoogleEarthslides Characterised,8672.744,42.776921844482423,144.070864868164051,-95472406.400000005960464,684.799999999999955,"1",Gangtok basin,LHS Daling
Debris slide,"2011",shallowGoogleEarthslides Characterised,1221.026,32.135726292928062,34.697397867838539,-109437522.666666671633720,1910.666666666666742,"1",Gangtok basin,LHS Daling
Debris slide,"2011",shallowGoogleEarthslides Characterised,1483.205,34.360218048095703,102.557888031005859,-457197472.000000000000000,1825.500000000000000,"1",Gangtok basin,LHS Daling
Debris slide,"2011",shallowGoogleEarthslides Characterised,1976.927,45.554162343343101,189.508290608723968,-78000458.666666671633720,1376.666666666666742,"1",Gangtok basin,LHS Daling
Debris slide,"2011",shallowGoogleEarthslides Characterised,2626.739,42.399899482727051,198.547611236572266,-3059643.000000000000000,1179.250000000000000,"1",Gangtok basin,LHS Daling
Debris slide,"2011",shallowGoogleEarthslides Characterised,3735.548,49.459729003906247,194.461831665039085,-328751731.199999988079071,1521.200000000000045,"1",Gangtok basin,LHS Daling
Debris slide,"2011",shallowGoogleEarthslides Characterised,2664.543,42.109830220540367,178.840413411458343,-180480210.666666656732559,2216.333333333333485,"1",Gangtok basin,LHS Daling
Debris slide-flow,,shallowGoogleEarthslides Discussed with Claire,63082.834,40.053311857458667,322.307663172891694,-20603764.726027395576239,484.164383561643831,"1",Gangtok basin,LHS Daling
Shallow translational slide,"2011",shallowGoogleEarthslides Discussed with Claire,1585.365,52.653625488281250,149.269432067871094,229678472.000000000000000,1049.500000000000000,"1",Gangtok basin,LHS Daling
Rock slide,"2017
Active",shallowGoogleEarthslides Characterised,35912.202,23.080600624992734,108.728912535167865,18737198.303571429103613,855.642857142857110,"1",East Sikkim,LHS Daling
Debris slide,"2006",shallowGoogleEarthslides Characterised,2357.121,54.782093048095703,182.945922851562500,28802456.000000000000000,1472.000000000000000,"1",East Sikkim,LHS Daling
Rock slide,"2017",shallowGoogleEarthslides Characterised,11826.840,45.340792592366533,51.640505107243854,-62255556.399999998509884,834.466666666666697,"1",East Sikkim,LHS Daling
Debris slide-flow,"2006",shallowGoogleEarthslides Characterised,239204.305,34.028876155826218,256.569905618192479,-73825476.629875883460045,885.546099290780148,"1",East Sikkim,LHS Daling
Debris slide,"2002",shallowGoogleEarthslides Characterised,12879.661,23.469295950496900,144.819105260512430,-107830581.176470592617989,559.000000000000000,"1",East Sikkim,LHS Daling
Rock slide,"2006",shallowGoogleEarthslides Characterised,4322.300,41.486541748046875,147.168222045898432,-96479211.000000000000000,1420.200000000000045,"1",East Sikkim,LHS Daling
