rainfall_mm_1h,rainfall_mm_24h,rainfall_mm_72h,soil_moisture_pct,sar_deformation_flag,insar_velocity_mm_yr,landslide_triggered
0.39,5.33,18.45,33.88,0,-2.64,0
3.99,31.49,58.16,42.62,0,-2.89,0
0.03,20.44,60.25,42.0,0,-2.1,1
0.05,82.15,204.68,51.59,0,-0.87,0
5.25,35.68,130.02,55.43,0,-2.06,0
0.27,16.0,66.89,46.87,0,-3.98,0
1.27,53.5,89.14,46.06,0,-2.17,0
11.1,79.17,192.94,57.69,0,-1.67,0
14.76,66.16,104.0,43.89,0,-2.91,0
0.62,17.75,34.35,37.86,0,-2.86,0
2.88,70.61,125.74,55.63,0,-0.59,0
2.87,30.88,89.5,37.21,0,-1.22,0
2.11,34.61,96.6,49.35,0,-2.33,1
9.05,36.49,78.66,55.43,0,-1.78,0
4.91,45.61,167.12,57.77,1,-21.46,1
5.06,25.14,69.21,47.58,0,-2.12,0
1.1,6.78,73.49,51.18,0,-1.45,0
1.99,45.08,100.71,52.94,0,-1.69,0
2.34,29.98,75.32,44.42,0,-3.53,0
1.24,13.74,33.63,28.94,0,-2.39,0
0.35,12.38,104.36,64.1,1,-6.49,0
0.47,5.99,37.3,41.77,0,-4.28,0
0.7,4.11,16.58,35.9,0,-4.16,0
0.8,12.29,47.57,45.82,0,-1.29,0
0.97,8.9,38.33,43.91,0,-2.23,0
1.03,14.76,36.8,41.89,0,-2.5,0
2.13,44.21,69.11,45.24,0,-3.86,0
2.49,14.95,35.24,35.89,0,-2.6,0
1.29,7.77,19.53,36.36,1,-20.69,0
8.32,82.67,187.6,59.27,1,-19.76,0
2.82,40.07,83.77,48.18,0,-0.39,0
5.42,25.72,62.72,48.81,0,-3.79,0
9.03,48.44,78.98,57.31,0,-2.63,0
0.62,26.11,109.34,46.52,0,-3.0,0
1.95,20.69,53.52,44.36,0,-1.06,0
1.99,37.32,97.0,44.56,0,-2.6,0
1.53,16.46,59.73,44.26,0,-2.48,0
0.03,68.79,136.03,45.82,0,-2.86,0
5.92,38.75,151.21,52.18,0,-3.84,0
0.41,2.17,23.71,34.18,0,-3.49,0
18.9,60.22,134.05,59.37,0,-2.55,0
5.19,36.34,144.92,47.69,0,-4.04,0
3.04,11.21,58.78,45.25,0,-1.74,0
0.59,2.81,14.24,30.66,0,-2.32,0
2.54,9.68,83.32,54.86,1,-22.12,0
1.06,19.41,79.2,44.85,0,-2.1,0
1.02,22.92,131.67,55.95,0,-1.75,0
6.19,35.37,88.62,47.58,0,-0.68,0
1.68,30.65,130.63,48.78,0,-2.93,0
2.1,27.28,85.28,44.99,0,-1.03,0
6.48,93.08,209.98,56.22,0,-0.79,0
0.32,37.75,76.48,37.68,0,-0.98,1
3.16,74.28,174.58,65.33,0,-3.16,0
3.02,81.02,160.48,54.68,0,-0.79,1
1.94,18.71,48.24,43.16,0,-4.4,0
6.2,30.71,46.76,34.89,0,-3.46,1
10.02,37.67,51.69,41.79,0,-1.89,0
2.19,26.3,131.56,56.3,0,-2.75,0
2.13,13.12,51.27,41.9,0,-0.23,0
2.44,30.39,84.61,43.59,1,-21.78,0
4.49,19.54,74.0,50.02,0,-1.37,0
3.86,16.48,54.11,31.85,0,-0.51,0
0.88,7.18,20.34,25.09,0,-3.46,0
0.23,56.89,166.84,56.41,0,-1.62,0
10.43,45.93,101.86,38.27,0,-2.64,0
1.06,48.27,101.8,46.32,0,-3.83,0
3.56,23.39,63.72,41.72,0,-3.54,0
6.17,45.08,71.6,53.16,1,-14.17,0
1.25,12.31,42.07,35.98,0,-3.94,0
3.53,19.8,41.51,36.52,0,-1.87,0
0.4,128.99,287.19,54.54,0,-2.35,0
12.26,59.76,94.49,49.61,0,-2.83,0
0.21,5.06,38.48,38.4,0,-0.51,0
2.02,27.46,120.37,47.08,0,-2.77,0
2.69,41.17,125.39,57.67,0,-2.68,1
5.47,106.39,261.19,66.93,1,-10.1,1
0.45,26.68,64.75,41.48,0,-1.72,0
2.03,23.56,76.56,36.8,0,-1.24,1
1.25,14.48,51.47,36.15,0,-2.25,0
1.31,24.55,89.71,56.2,0,-3.16,0
5.28,35.05,119.71,53.16,0,-2.62,0
0.02,4.96,20.97,29.35,0,-0.79,0
4.84,35.98,93.39,55.9,0,-1.7,0
5.82,34.78,77.22,45.61,0,-0.47,1
8.11,34.55,60.88,43.58,0,-3.38,0
3.45,18.14,60.16,55.32,0,-4.0,1
1.42,11.69,35.36,42.12,0,-0.4,0
1.95,29.06,85.8,46.5,0,-2.46,0
12.24,53.51,132.69,55.73,0,-2.63,0
7.46,24.24,54.77,44.99,0,-2.09,0
2.18,13.97,112.38,55.71,0,-2.36,0
10.03,55.11,114.9,46.72,0,-3.25,0
6.06,30.65,159.52,64.54,1,-11.1,0
8.1,57.8,131.44,60.87,1,-14.16,1
4.02,30.15,64.24,39.53,0,-2.53,0
6.82,52.05,88.63,48.29,0,-0.51,1
7.78,41.54,123.58,53.28,0,-4.3,0
0.34,27.28,89.23,49.26,1,-19.96,0
11.76,41.18,94.26,53.07,0,-3.57,0
1.42,45.55,118.27,50.64,0,-2.47,0
2.03,98.89,235.06,63.57,0,-3.39,0
5.49,20.3,41.51,42.3,0,-2.41,0
3.83,33.52,75.55,48.73,0,-0.45,0
7.82,45.03,91.7,51.2,0,-1.81,0
1.79,10.23,32.67,39.54,0,-2.87,0
1.64,16.15,147.6,56.41,1,-19.93,0
0.11,38.08,107.05,41.34,0,-4.38,0
2.17,29.64,73.86,40.89,0,-2.81,0
4.51,24.99,58.54,36.57,0,-1.43,0
1.25,17.45,56.14,37.16,0,-0.39,0
2.17,20.66,47.54,35.66,0,-3.59,0
0.87,10.91,32.65,41.95,0,-4.02,0
5.19,62.73,145.25,61.79,1,-18.66,0
0.22,18.04,82.98,50.7,0,-2.27,0
4.28,24.96,92.29,43.94,0,-3.9,0
1.67,17.81,43.31,34.97,0,-1.23,0
0.15,55.61,169.2,53.95,0,-1.91,0
6.72,63.32,146.03,51.53,0,-2.38,1
2.34,16.5,42.36,45.95,0,-0.41,0
3.2,25.75,65.51,37.64,0,-3.16,0
4.61,18.88,78.32,48.29,0,-1.01,0
3.73,100.7,240.64,55.33,0,-1.63,0
4.59,36.99,87.09,50.61,0,-1.98,0
5.03,22.78,43.34,37.68,0,-2.95,0
3.11,26.29,68.37,39.35,0,-0.48,0
1.59,13.24,33.04,34.08,0,-1.67,0
0.98,20.83,74.37,48.55,0,-1.38,0
8.16,42.05,97.57,41.53,0,-0.21,0
12.26,67.23,185.12,55.23,0,-3.17,0
1.55,11.26,58.58,42.11,0,-1.21,0
0.42,8.94,16.38,24.73,0,-0.92,0
0.88,12.47,63.31,39.23,0,-3.63,0
3.89,53.97,122.4,60.04,0,-0.37,1
0.66,9.87,53.05,35.25,0,-4.07,0
5.3,14.26,44.95,37.31,0,-3.15,1
8.98,82.68,215.2,62.73,1,-19.96,0
11.6,91.21,138.61,54.1,0,-1.71,0
0.03,13.75,36.13,34.87,0,-4.28,0
11.11,64.2,92.14,52.81,0,-2.86,0
4.72,43.89,146.5,44.85,0,-2.82,0
0.31,1.12,25.88,38.26,0,-3.01,0
1.88,58.57,178.83,53.17,0,-2.19,0
4.21,54.56,157.66,43.45,0,-0.92,0
10.99,60.1,139.62,65.36,0,-0.85,1
0.63,9.4,36.6,38.04,0,-3.16,0
0.48,2.59,5.95,31.44,0,-4.0,0
2.24,178.91,397.61,72.63,1,-19.77,1
12.06,100.03,147.05,50.66,1,-17.96,0
12.44,57.87,102.16,48.99,0,-4.47,0
0.91,5.35,57.2,42.58,0,-1.31,0
1.35,24.11,47.35,37.05,0,-1.88,0
8.35,131.27,218.62,66.45,0,-1.76,0
4.65,38.99,91.3,55.42,0,-0.34,0
12.55,62.99,238.74,60.95,1,-24.51,0
7.83,47.99,326.51,67.71,0,-1.1,0
0.85,7.13,41.31,43.36,0,-0.75,0
4.99,66.72,210.78,61.45,1,-10.06,1
0.17,8.52,16.21,28.67,0,-3.49,0
5.96,59.37,112.83,39.24,0,-4.02,0
3.22,13.56,34.81,37.84,0,-4.22,0
10.94,39.0,56.85,46.66,0,-3.94,0
11.27,70.11,143.22,50.21,1,-6.46,0
0.18,37.64,86.94,48.96,0,-1.16,0
0.61,6.67,33.88,39.34,0,-0.73,0
2.32,19.75,48.62,43.11,0,-1.72,0
7.41,45.02,108.84,51.78,0,-0.73,0
5.9,55.85,164.66,51.82,0,-3.01,0
11.67,64.68,128.69,59.49,0,-3.28,0
3.37,19.56,47.64,40.41,0,-0.89,0
1.04,21.58,54.39,39.47,0,-2.87,0
0.09,43.44,108.82,42.95,0,-0.3,0
0.88,45.25,118.01,54.29,0,-2.07,0
3.94,40.27,95.23,61.62,0,-1.43,0
9.13,153.71,309.74,63.46,1,-7.97,1
1.35,10.33,40.54,36.45,0,-4.17,0
7.3,39.83,90.68,48.61,0,-0.83,0
1.76,39.35,105.72,50.38,0,-4.14,0
1.29,9.31,44.6,38.07,0,-2.0,0
2.49,81.09,169.82,67.6,0,-2.68,1
2.04,18.89,29.83,36.17,0,-2.5,0
8.58,45.37,116.46,45.57,0,-3.32,0
2.21,11.78,28.81,29.76,0,-1.64,0
1.14,10.33,26.17,40.54,0,-0.5,0
6.47,49.57,111.74,52.94,0,-2.0,0
23.39,128.0,301.31,62.58,1,-17.54,1
3.66,20.23,49.31,38.84,0,-2.59,0
1.01,37.42,77.66,50.09,0,-3.61,0
0.96,4.27,11.29,25.78,0,-0.39,0
0.21,36.83,74.63,45.34,0,-4.45,0
0.28,7.99,28.99,39.34,0,-4.46,0
8.63,61.08,101.68,46.51,0,-0.63,1
0.36,11.3,69.41,51.51,0,-1.68,0
2.32,30.79,90.71,40.49,0,-2.74,0
4.19,55.38,124.04,53.15,0,-1.81,0
6.65,110.79,293.92,64.44,1,-18.55,1
0.66,9.87,31.28,25.75,0,-1.6,0
2.02,22.11,71.82,41.88,0,-3.26,0
1.01,16.74,67.92,47.86,0,-1.77,0
1.03,142.16,189.32,55.06,1,-23.87,0
1.27,36.96,105.9,49.46,0,-2.68,0
3.1,27.4,53.3,39.88,0,-4.37,0
0.06,13.22,25.08,39.38,0,-2.96,0
1.84,15.07,63.59,45.76,0,-0.62,0
0.72,30.07,64.29,41.94,0,-1.57,0
11.95,71.12,130.41,50.06,0,-2.0,0
3.06,81.34,144.69,59.4,0,-3.38,0
7.09,55.21,146.14,55.92,1,-15.61,1
0.76,26.45,48.49,45.87,0,-3.03,1
5.81,40.35,73.52,48.98,0,-3.81,0
1.88,24.79,51.11,25.09,0,-0.65,0
0.68,10.76,32.76,42.16,0,-3.49,0
5.01,54.76,145.12,55.73,0,-3.41,0
5.02,15.01,37.87,39.42,0,-3.72,0
19.23,94.82,266.7,52.9,0,-4.31,0
5.31,48.39,103.69,48.06,0,-1.53,0
0.55,55.57,130.92,53.99,0,-2.04,0
1.36,25.51,49.82,34.72,0,-1.33,1
2.1,38.15,110.43,57.99,0,-1.61,0
0.47,37.35,88.3,52.05,0,-1.62,0
5.43,38.99,128.0,51.38,1,-14.61,0
2.62,12.56,86.75,57.15,0,-0.47,0
10.12,83.17,183.01,60.07,1,-12.53,1
3.11,74.46,278.49,70.3,0,-2.83,1
2.59,19.46,65.89,40.42,0,-3.49,0
0.26,6.01,10.55,31.83,0,-3.2,0
0.57,46.52,97.73,56.4,0,-0.4,0
6.63,53.07,75.77,52.21,1,-14.54,0
16.36,58.54,92.57,54.0,0,-0.99,0
1.88,12.87,35.52,43.78,0,-4.45,0
5.81,115.97,200.36,67.04,0,-4.5,0
3.46,14.38,41.06,27.48,0,-0.42,0
11.18,37.35,84.28,45.56,0,-3.07,0
0.95,20.49,54.57,33.48,0,-3.7,0
2.75,14.59,36.84,29.27,0,-1.6,0
1.84,16.23,68.79,42.43,0,-3.18,0
2.73,16.39,43.71,37.54,0,-1.01,0
1.1,9.48,67.48,51.6,0,-0.75,0
2.41,44.45,141.74,48.83,0,-4.18,0
3.43,31.56,94.07,50.07,0,-2.96,0
0.3,7.76,30.82,44.23,0,-3.71,0
4.76,24.01,65.22,43.6,0,-2.49,0
4.29,16.19,38.02,47.99,1,-10.68,0
7.43,28.39,67.81,35.48,0,-1.82,0
1.94,31.7,85.41,43.62,0,-3.99,0
0.22,3.62,34.79,45.08,0,-0.27,0
