elevation,slope,aspect,curvature,geology,rainfall_1h,rainfall_24h,rainfall_72h,rainfall_intensity,temperature,humidity,soil_moisture,insar_velocity_mm_yr,sar_deformation_flag,landslide
1283.5,5.23,39.8,-0.33568,LHS Daling,0.9,12.82,66.46,0.0706,14.9,83.1,46.8,-4.09,0,0
2604.9,7.48,194.2,-0.53885,LHS Daling,31.84,218.15,520.21,0.146,6.7,97.1,90.8,-3.28,0,1
2339.8,11.95,269.1,0.36653,GHS paro,0.44,1.43,1.43,0.306,16.0,52.1,34.0,-2.48,0,0
1064.5,39.31,193.7,-3.42907,LHS Daling,0.68,2.31,17.03,0.2949,24.6,73.2,31.5,-0.66,0,0
3410.3,21.58,32.2,0.64294,LHS Daling,0.04,0.38,5.69,0.0984,4.8,50.7,25.7,-1.92,0,0
4563.0,39.53,42.8,0.56006,GHS paro,8.51,52.09,161.26,0.1634,-10.0,78.9,72.9,-2.05,0,0
1420.2,41.49,147.2,-0.96479,LHS Daling,0.28,3.19,11.35,0.0869,15.0,49.3,33.2,-1.59,0,0
1446.3,43.19,143.6,-0.28008,LHS Daling,10.55,194.32,425.73,0.0543,15.2,88.5,87.0,-2.51,0,1
3508.2,6.97,7.1,0.22759,GHS paro,31.74,183.67,445.74,0.1728,2.0,98.7,95.6,-13.13,1,1
3410.3,21.58,32.2,0.64294,LHS Daling,46.63,219.54,517.91,0.2124,0.4,89.0,87.7,-26.06,1,1
2664.0,30.42,91.7,-0.68749,GHS paro,0.25,2.88,16.59,0.0863,13.9,58.1,31.6,-0.23,0,0
3177.6,17.26,57.1,-0.28673,LHS Daling,19.29,175.93,417.36,0.1097,4.1,89.8,74.4,-20.61,1,1
3087.6,44.99,215.2,2.39679,GHS paro,0.17,7.89,7.89,0.021,9.4,53.6,15.8,-1.53,0,0
1448.0,39.24,225.0,-0.89461,LHS Daling,0.4,0.49,5.14,0.8153,21.2,66.6,28.8,-2.58,0,0
3648.4,37.26,237.6,-0.18173,GHS paro,1.87,2.68,2.68,0.6979,4.3,64.5,43.1,-2.03,0,0
4601.6,30.77,310.8,0.89942,GHS paro,0.48,13.55,39.53,0.0353,-0.7,75.0,45.4,-0.55,0,0
2723.7,18.69,231.8,0.38555,Lingtse,0.86,3.39,3.39,0.2538,2.2,58.0,42.1,-1.12,1,0
960.2,48.32,175.8,-1.4118,LHS,18.57,159.42,453.96,0.1165,17.0,86.4,72.4,-5.14,0,1
1619.6,41.04,151.0,-0.22871,Lingtse,2.46,20.01,108.64,0.1227,8.7,88.0,57.8,-4.51,0,0
1646.2,36.67,82.4,-0.82978,GHS paro,0.27,1.32,9.79,0.2027,19.8,73.7,25.8,0.17,0,0
1649.3,21.76,6.6,-0.00243,Sedimentary/Alluvium,0.76,4.04,6.84,0.1885,17.6,71.0,33.1,-1.95,0,0
2550.1,16.02,143.2,0.25888,GHS paro,1.41,1.41,3.78,1.0,13.4,57.5,33.9,-1.27,0,0
1806.5,13.98,192.0,0.19827,Lingtse,0.32,3.71,11.05,0.0874,12.1,71.2,31.6,-1.68,0,0
3616.9,21.3,287.6,-0.10033,MCT zone,4.78,53.03,104.84,0.0901,2.9,85.0,48.9,-2.82,0,0
1710.1,11.72,151.7,0.21532,GHS paro,7.37,41.26,106.17,0.1786,8.2,73.1,74.7,-5.35,0,0
3335.1,36.93,314.9,2.47774,GHS paro,9.03,89.06,369.46,0.1014,-1.1,95.0,79.0,-16.51,1,1
366.9,5.56,65.0,-0.54876,MCT zone,0.3,2.8,3.14,0.1054,20.5,52.9,34.5,-0.9,0,0
566.8,5.83,250.2,-0.17893,LHS Daling,0.01,3.22,11.41,0.0045,20.2,43.4,37.2,-1.43,0,0
3609.3,24.43,253.5,-0.52109,GHS paro,11.3,32.38,67.76,0.3489,-0.5,75.2,47.8,-4.1,0,0
522.7,20.32,138.2,0.83535,Sedimentary/Alluvium,3.57,29.52,94.02,0.1211,15.8,70.0,59.9,-3.22,0,0
3295.1,9.46,188.8,-0.40912,LHS Daling,0.3,2.95,24.51,0.1004,1.3,66.0,26.4,-1.71,0,0
4544.7,35.74,282.7,-1.17147,GHS paro,34.15,182.6,438.62,0.187,-11.7,88.7,87.8,-20.31,1,1
529.9,13.24,143.1,-0.40633,GHS paro,9.45,98.77,346.18,0.0957,11.6,97.0,81.2,-7.37,1,0
1904.8,15.88,287.9,-0.12365,LHS Daling,0.1,2.74,2.91,0.0362,13.4,40.3,43.7,-2.88,0,0
730.5,7.13,55.9,0.25351,Sedimentary/Alluvium,0.3,1.68,12.29,0.1759,16.6,73.2,39.9,-2.08,0,0
2582.8,21.97,143.0,0.1315,LHS Daling,0.58,2.66,4.35,0.2197,13.3,62.3,33.8,-2.76,0,0
3288.2,17.98,117.5,0.00969,Sedimentary/Alluvium,0.3,2.57,17.94,0.1158,4.3,71.7,35.0,-1.74,0,0
1245.9,5.64,216.2,0.01127,MCT zone,0.07,4.33,10.61,0.0158,13.7,66.1,22.0,-2.06,0,0
468.5,9.17,293.2,0.09552,MCT zone,11.16,218.93,664.35,0.051,13.5,90.7,76.6,-27.41,1,1
1620.6,25.21,235.9,0.28895,LHS Daling,6.32,27.39,70.82,0.2307,14.0,89.6,55.0,-10.47,1,0
3508.2,6.97,7.1,0.22759,GHS paro,7.07,59.56,159.62,0.1187,0.9,90.7,50.4,-3.52,0,0
3621.3,31.17,248.7,0.98753,GHS paro,4.15,27.35,62.82,0.1519,-1.5,73.1,52.7,-6.02,0,0
1499.8,32.5,175.2,-0.97281,LHS Daling,0.21,7.0,7.0,0.0301,17.5,64.1,17.6,-2.7,0,0
2897.3,45.67,138.6,1.77494,GHS paro,1.16,22.47,84.87,0.0517,10.6,89.1,71.9,-3.35,0,0
1859.4,21.93,51.3,-0.13391,Sedimentary/Alluvium,4.76,33.81,81.43,0.1409,8.6,76.3,49.8,-12.2,1,0
3778.5,6.09,29.8,-0.42605,LHS Daling,3.02,68.61,140.7,0.044,-0.7,86.7,58.4,-2.73,0,0
4358.8,39.74,274.6,-0.02932,GHS paro,0.17,3.68,56.44,0.0464,2.7,44.5,16.6,-4.76,1,0
1579.9,14.64,312.7,0.24766,GHS paro,6.4,36.71,81.91,0.1743,10.3,89.4,70.4,-3.82,0,0
2973.8,27.73,281.9,0.40624,GHS paro,25.08,130.73,309.11,0.1918,2.9,98.7,82.9,-17.43,1,1
1825.5,34.36,102.6,-4.57197,LHS Daling,2.59,35.03,101.62,0.0739,14.8,82.0,50.6,-2.55,0,0
2478.4,18.3,274.0,-0.07316,MCT zone,35.82,209.57,596.36,0.1709,-0.0,98.0,95.6,-17.77,1,1
3380.5,16.26,46.4,0.25232,GHS paro,3.47,24.73,96.52,0.1405,4.6,77.2,62.9,-2.04,0,0
2075.9,24.07,354.5,0.55371,LHS Daling,10.01,36.82,89.01,0.272,9.3,73.7,56.4,-4.25,0,0
3357.9,18.3,323.3,0.69983,LHS Daling,1.33,15.72,55.04,0.0847,-1.5,89.6,58.3,-2.41,0,0
1615.1,46.21,144.4,-1.08702,MCT zone,5.78,42.06,150.63,0.1374,13.1,89.8,56.4,-3.33,0,0
2472.3,20.25,103.9,0.02266,MCT zone,3.42,64.22,127.3,0.0532,11.6,79.3,72.9,-2.55,0,0
1114.6,22.75,100.8,-2.30502,LHS Daling,3.69,30.64,66.99,0.1203,12.3,79.1,51.7,-4.73,0,0
1209.7,8.82,42.2,0.12923,GHS paro,0.54,2.33,2.33,0.234,15.7,50.6,44.2,-2.46,0,0
1986.9,28.24,139.0,0.91919,LHS Daling,0.04,3.87,3.87,0.0116,12.9,47.4,34.7,-2.44,0,0
905.8,38.08,174.2,3.29212,LHS Daling,0.72,5.74,5.74,0.1253,14.5,42.8,26.5,-2.93,0,0
2339.8,11.95,269.1,0.36653,GHS paro,13.77,106.35,580.4,0.1295,9.6,86.8,98.0,-4.96,0,0
3294.9,11.53,83.6,0.3992,LHS Daling,0.06,2.28,10.25,0.0244,-1.4,60.3,30.8,-0.56,0,0
335.5,10.08,214.3,0.01624,GHS paro,0.58,2.74,2.74,0.2107,28.2,74.6,26.6,-0.88,0,0
1808.4,12.72,37.5,0.65136,LHS Daling,1.21,3.96,11.04,0.3064,17.4,44.3,40.5,-0.36,0,0
610.1,20.44,319.0,-0.41876,MCT zone,0.37,1.92,7.24,0.195,27.9,41.2,19.1,-2.34,0,0
1775.3,49.84,114.2,-1.22783,GHS paro,33.27,250.75,627.96,0.1327,5.6,94.3,77.0,-19.71,1,1
501.8,11.02,314.6,0.2146,LHS Daling,22.68,144.01,353.04,0.1575,16.3,86.1,72.6,-4.91,0,1
2642.2,20.98,226.0,-0.24951,MCT zone,41.75,206.73,601.97,0.202,7.5,95.4,93.3,-11.88,1,1
1872.7,15.38,316.5,0.29395,MCT zone,0.07,2.08,5.6,0.0327,10.1,64.6,36.5,-1.07,0,0
1631.4,14.24,173.2,-0.26865,GHS paro,5.14,20.7,81.33,0.2482,16.0,70.9,55.9,-2.16,0,0
1669.3,41.95,117.1,-0.56954,GHS paro,22.54,175.15,454.01,0.1287,10.1,94.3,72.6,-3.75,0,0
1515.3,29.68,138.0,-1.33679,Lingtse,4.7,23.17,93.33,0.2028,17.5,70.1,51.0,-2.18,0,0
315.3,5.91,29.2,-0.61026,LHS Daling,3.64,39.54,91.19,0.0921,16.5,73.6,68.6,-4.45,0,0
4059.5,43.66,142.3,0.02393,GHS paro,4.9,43.9,96.84,0.1116,-1.3,71.6,72.4,-9.43,1,1
1177.3,44.62,136.8,-1.3948,LHS Daling,0.2,12.07,12.07,0.0168,19.4,48.2,21.7,-1.42,0,0
2125.1,7.52,255.3,0.52685,GHS paro,2.93,15.57,54.35,0.1878,6.7,91.4,73.0,-8.07,1,0
3603.0,9.44,18.7,-0.40262,MCT zone,8.62,95.06,287.32,0.0907,0.9,94.2,86.4,-21.54,1,0
1649.3,21.76,6.6,-0.00243,Sedimentary/Alluvium,23.22,234.06,523.94,0.0992,10.0,95.7,84.9,-6.43,0,1
2665.3,36.91,228.1,1.28967,GHS paro,22.81,250.31,499.08,0.0911,2.6,92.4,76.7,-10.3,1,0
1919.5,28.94,138.8,-0.85848,GHS paro,0.42,0.52,20.37,0.808,9.1,73.1,17.8,-1.6,0,0
1975.5,40.9,92.2,-0.98842,GHS paro,6.79,25.1,63.28,0.2706,15.7,87.1,55.2,-1.24,0,0
2205.7,24.46,170.4,0.36157,Lingtse,0.09,0.7,3.09,0.1236,17.9,74.9,39.3,-11.07,1,0
3709.7,5.6,245.0,-0.54263,GHS paro,0.91,5.64,11.51,0.1623,5.6,52.4,21.4,-1.02,0,0
3504.6,27.35,243.0,2.37812,GHS paro,4.94,40.02,96.62,0.1233,6.5,76.4,69.3,-12.83,1,0
3351.9,40.35,139.8,1.00227,GHS paro,15.94,277.46,659.88,0.0574,2.1,89.3,83.9,-3.48,0,1
2160.2,49.25,326.6,-0.3787,Lingtse,3.75,52.48,111.38,0.0715,5.4,78.1,58.4,-4.18,0,0
2527.4,5.86,265.5,-0.39585,MCT zone,0.3,0.3,1.11,1.0,11.7,72.2,21.9,1.3,0,0
1620.6,25.21,235.9,0.28895,LHS Daling,0.58,10.55,35.02,0.0554,13.7,71.7,41.2,-1.49,0,0
1579.0,22.34,152.2,-2.31363,LHS Daling,0.77,16.13,16.13,0.0477,10.2,42.1,18.4,-0.11,0,0
2796.2,24.59,227.5,-0.19554,GHS paro,17.46,64.78,160.79,0.2696,0.2,76.2,51.7,-3.6,0,0
3477.6,11.76,337.0,0.52704,GHS paro,8.57,76.34,166.92,0.1122,1.5,73.7,67.7,-4.58,0,0
2108.0,12.09,220.1,-0.33878,LHS Daling,33.28,144.19,348.79,0.2308,11.1,87.2,79.6,-12.75,1,0
4419.5,44.36,24.9,-1.97332,GHS paro,2.51,2.51,2.51,1.0,0.8,63.4,15.8,-1.36,0,0
2829.5,17.08,12.2,-0.08373,MCT zone,0.44,0.44,11.02,1.0,6.8,51.2,19.3,-3.36,0,0
1712.4,47.63,212.2,-1.87086,MCT zone,10.3,35.58,105.72,0.2895,13.5,81.0,58.1,-2.05,0,0
2554.5,18.18,203.7,0.23701,LHS Daling,5.0,85.95,347.61,0.0582,5.3,93.3,75.0,-18.17,1,1
468.7,17.27,96.1,0.31134,GHS paro,16.3,123.79,459.86,0.1317,14.5,87.7,77.2,-7.52,0,0
1508.2,12.26,45.1,-0.10094,LHS Daling,36.86,327.69,640.29,0.1125,14.5,87.9,88.7,-12.18,1,1
3778.5,6.09,29.8,-0.42605,LHS Daling,5.16,48.45,93.2,0.1065,-5.8,74.6,48.1,-4.86,0,0
2038.4,22.26,67.1,1.04067,GHS paro,0.16,1.53,2.42,0.1023,11.1,58.2,22.4,-0.23,0,0
3324.0,25.22,215.6,1.95691,GHS paro,22.99,124.62,322.35,0.1845,-5.3,92.5,74.5,-2.9,0,0
553.1,12.16,359.3,0.53128,GHS paro,1.41,20.84,95.22,0.0678,16.3,90.9,61.8,-14.13,1,0
1264.0,35.72,211.0,-0.93239,LHS,5.78,44.1,96.11,0.1311,13.2,75.5,72.4,-11.43,1,1
2125.0,46.05,191.0,-2.60639,MCT zone,0.09,0.34,2.15,0.266,15.5,48.0,34.3,-0.79,0,0
1619.6,41.04,151.0,-0.22871,Lingtse,0.88,10.11,10.11,0.0867,20.5,66.7,15.3,-3.68,0,0
800.2,27.94,223.6,0.2088,LHS Daling,8.44,70.92,135.59,0.119,22.4,83.4,53.1,-2.38,0,0
2758.9,15.99,213.3,0.80244,Lingtse,0.15,5.88,19.01,0.0249,13.5,70.0,32.4,-0.29,0,0
514.2,44.65,162.8,-0.70124,LHS,0.96,3.6,23.86,0.2658,25.1,40.7,22.3,-0.87,0,0
1619.6,41.04,151.0,-0.22871,Lingtse,10.29,45.55,100.79,0.2259,10.2,82.3,62.1,-3.28,0,0
3476.6,12.72,289.0,-0.67718,LHS Daling,18.01,186.71,530.34,0.0965,-0.8,96.8,92.8,-21.3,1,0
1903.0,5.31,339.7,-0.3241,LHS Daling,18.73,123.84,320.87,0.1512,2.6,87.0,95.7,-27.28,1,1
